"Unnamed Column","School DBN","School Name","School Type","School Level","Regents Exam","Year","Category","Total Tested","Mean Score","Number Scoring Below 65","Percent Scoring Below 65","Number Scoring 65 or Above","Percent Scoring 65 or Above","Number Scoring 80 or Above","Percent Scoring 80 or Above","Number Scoring CR","Percent Scoring CR"
"21K0982015All StudentsPhysical Settings/Earth Science","21K098","I.S. 98 Bay Academy","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2015","All Students","65","79.8","7","10.8","58","89.2","38","58.5","na","na"
"21K0982016All StudentsCommon Core Algebra","21K098","I.S. 98 Bay Academy","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2016","All Students","155","90.1","0","0.0","155","100.0","155","100.0","155","100.0"
"21K0982016All StudentsLiving Environment","21K098","I.S. 98 Bay Academy","General Academic","Junior High-Intermediate-Middle","Living Environment","2016","All Students","129","90.8","0","0.0","129","100.0","128","99.2","na","na"
"21K0982016All StudentsPhysical Settings/Earth Science","21K098","I.S. 98 Bay Academy","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2016","All Students","58","88.5","2","3.4","56","96.6","52","89.7","na","na"
"21K0982017All StudentsCommon Core Algebra","21K098","I.S. 98 Bay Academy","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2017","All Students","146","92.2","0","0.0","146","100.0","146","100.0","146","100.0"
"21K0982017All StudentsLiving Environment","21K098","I.S. 98 Bay Academy","General Academic","Junior High-Intermediate-Middle","Living Environment","2017","All Students","169","90.2","0","0.0","169","100.0","167","98.8","na","na"
"21K0982017All StudentsPhysical Settings/Earth Science","21K098","I.S. 98 Bay Academy","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2017","All Students","57","93.4","1","1.8","56","98.2","56","98.2","na","na"
"21K0982018All StudentsCommon Core Algebra","21K098","I.S. 98 Bay Academy","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2018","All Students","181","92.8","0","0.0","181","100.0","180","99.4","181","100.0"
"21K0982018All StudentsLiving Environment","21K098","I.S. 98 Bay Academy","General Academic","Junior High-Intermediate-Middle","Living Environment","2018","All Students","159","91.4","0","0.0","159","100.0","156","98.1","na","na"
"21K0982019All StudentsCommon Core Algebra","21K098","I.S. 98 Bay Academy","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2019","All Students","193","95.2","0","0.0","193","100.0","193","100.0","193","100.0"
"21K0982019All StudentsLiving Environment","21K098","I.S. 98 Bay Academy","General Academic","Junior High-Intermediate-Middle","Living Environment","2019","All Students","147","92.1","0","0.0","147","100.0","147","100.0","na","na"
"21K0992015All StudentsCommon Core Algebra","21K099","P.S. 099 Isaac Asimov","General Academic","K-8","Common Core Algebra","2015","All Students","19","72.2","2","10.5","17","89.5","3","15.8","14","73.7"
"21K0992015All StudentsPhysical Settings/Earth Science","21K099","P.S. 099 Isaac Asimov","General Academic","K-8","Physical Settings/Earth Science","2015","All Students","19","81.5","0","0.0","19","100.0","11","57.9","na","na"
"21K0992016All StudentsCommon Core Algebra","21K099","P.S. 099 Isaac Asimov","General Academic","K-8","Common Core Algebra","2016","All Students","23","81.2","0","0.0","23","100.0","16","69.6","21","91.3"
"21K0992016All StudentsPhysical Settings/Earth Science","21K099","P.S. 099 Isaac Asimov","General Academic","K-8","Physical Settings/Earth Science","2016","All Students","23","80.9","2","8.7","21","91.3","13","56.5","na","na"
"21K0992017All StudentsCommon Core Algebra","21K099","P.S. 099 Isaac Asimov","General Academic","K-8","Common Core Algebra","2017","All Students","27","85.1","0","0.0","27","100.0","23","85.2","27","100.0"
"21K0992017All StudentsPhysical Settings/Earth Science","21K099","P.S. 099 Isaac Asimov","General Academic","K-8","Physical Settings/Earth Science","2017","All Students","27","82.5","1","3.7","26","96.3","18","66.7","na","na"
"21K0992018All StudentsCommon Core Algebra","21K099","P.S. 099 Isaac Asimov","General Academic","K-8","Common Core Algebra","2018","All Students","32","76.3","3","9.4","29","90.6","8","25.0","28","87.5"
"21K0992018All StudentsPhysical Settings/Earth Science","21K099","P.S. 099 Isaac Asimov","General Academic","K-8","Physical Settings/Earth Science","2018","All Students","32","73.2","8","25.0","24","75.0","13","40.6","na","na"
"21K0992019All StudentsCommon Core Algebra","21K099","P.S. 099 Isaac Asimov","General Academic","K-8","Common Core Algebra","2019","All Students","23","82.3","0","0.0","23","100.0","16","69.6","23","100.0"
"21K0992019All StudentsPhysical Settings/Earth Science","21K099","P.S. 099 Isaac Asimov","General Academic","K-8","Physical Settings/Earth Science","2019","All Students","23","80.8","1","4.3","22","95.7","12","52.2","na","na"
"21K1212015All StudentsLiving Environment","21K121","P.S. 121 Nelson A. Rockefeller","General Academic","K-8","Living Environment","2015","All Students","17","82.3","0","0.0","17","100.0","10","58.8","na","na"
"21K1212016All StudentsLiving Environment","21K121","P.S. 121 Nelson A. Rockefeller","General Academic","K-8","Living Environment","2016","All Students","13","77.9","1","7.7","12","92.3","6","46.2","na","na"
"21K1212017All StudentsCommon Core Algebra","21K121","P.S. 121 Nelson A. Rockefeller","General Academic","K-8","Common Core Algebra","2017","All Students","12","80.7","0","0.0","12","100.0","8","66.7","12","100.0"
"21K1212017All StudentsLiving Environment","21K121","P.S. 121 Nelson A. Rockefeller","General Academic","K-8","Living Environment","2017","All Students","12","76.3","1","8.3","11","91.7","4","33.3","na","na"
"21K1212018All StudentsLiving Environment","21K121","P.S. 121 Nelson A. Rockefeller","General Academic","K-8","Living Environment","2018","All Students","32","69.7","9","28.1","23","71.9","10","31.3","na","na"
"21K2092015All StudentsCommon Core Algebra","21K209","P.S. 209 Margaret Mead","General Academic","K-8","Common Core Algebra","2015","All Students","21","78.7","0","0.0","21","100.0","8","38.1","19","90.5"
"21K2092015All StudentsCommon Core English","21K209","P.S. 209 Margaret Mead","General Academic","K-8","Common Core English","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2092015All StudentsPhysical Settings/Earth Science","21K209","P.S. 209 Margaret Mead","General Academic","K-8","Physical Settings/Earth Science","2015","All Students","19","79.4","1","5.3","18","94.7","10","52.6","na","na"
"21K2092016All StudentsCommon Core Algebra","21K209","P.S. 209 Margaret Mead","General Academic","K-8","Common Core Algebra","2016","All Students","18","88.1","0","0.0","18","100.0","17","94.4","18","100.0"
"21K2092016All StudentsCommon Core English","21K209","P.S. 209 Margaret Mead","General Academic","K-8","Common Core English","2016","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2092016All StudentsPhysical Settings/Earth Science","21K209","P.S. 209 Margaret Mead","General Academic","K-8","Physical Settings/Earth Science","2016","All Students","17","83.3","1","5.9","16","94.1","12","70.6","na","na"
"21K2092017All StudentsCommon Core Algebra","21K209","P.S. 209 Margaret Mead","General Academic","K-8","Common Core Algebra","2017","All Students","27","86.7","0","0.0","27","100.0","26","96.3","27","100.0"
"21K2092017All StudentsPhysical Settings/Earth Science","21K209","P.S. 209 Margaret Mead","General Academic","K-8","Physical Settings/Earth Science","2017","All Students","26","79.3","3","11.5","23","88.5","13","50.0","na","na"
"21K2092018All StudentsCommon Core Algebra","21K209","P.S. 209 Margaret Mead","General Academic","K-8","Common Core Algebra","2018","All Students","26","84.8","0","0.0","26","100.0","25","96.2","26","100.0"
"21K2092018All StudentsPhysical Settings/Earth Science","21K209","P.S. 209 Margaret Mead","General Academic","K-8","Physical Settings/Earth Science","2018","All Students","25","84.6","1","4.0","24","96.0","21","84.0","na","na"
"21K2092019All StudentsCommon Core Algebra","21K209","P.S. 209 Margaret Mead","General Academic","K-8","Common Core Algebra","2019","All Students","24","84.9","0","0.0","24","100.0","21","87.5","24","100.0"
"21K2092019All StudentsPhysical Settings/Earth Science","21K209","P.S. 209 Margaret Mead","General Academic","K-8","Physical Settings/Earth Science","2019","All Students","24","79.5","2","8.3","22","91.7","12","50.0","na","na"
"21K2252015All StudentsCommon Core Algebra","21K225","P.S. K225 - The Eileen E. Zaglin","General Academic","K-8","Common Core Algebra","2015","All Students","29","73.8","2","6.9","27","93.1","3","10.3","24","82.8"
"21K2252016All StudentsCommon Core Algebra","21K225","P.S. K225 - The Eileen E. Zaglin","General Academic","K-8","Common Core Algebra","2016","All Students","31","80.8","1","3.2","30","96.8","21","67.7","30","96.8"
"21K2252017All StudentsCommon Core Algebra","21K225","P.S. K225 - The Eileen E. Zaglin","General Academic","K-8","Common Core Algebra","2017","All Students","29","80.9","0","0.0","29","100.0","21","72.4","29","100.0"
"21K2252018All StudentsCommon Core Algebra","21K225","P.S. K225 - The Eileen E. Zaglin","General Academic","K-8","Common Core Algebra","2018","All Students","26","80.8","0","0.0","26","100.0","17","65.4","26","100.0"
"21K2252018All StudentsLiving Environment","21K225","P.S. K225 - The Eileen E. Zaglin","General Academic","K-8","Living Environment","2018","All Students","28","85.9","0","0.0","28","100.0","24","85.7","na","na"
"21K2252019All StudentsCommon Core Algebra","21K225","P.S. K225 - The Eileen E. Zaglin","General Academic","K-8","Common Core Algebra","2019","All Students","30","81.1","0","0.0","30","100.0","23","76.7","29","96.7"
"21K2252019All StudentsLiving Environment","21K225","P.S. K225 - The Eileen E. Zaglin","General Academic","K-8","Living Environment","2019","All Students","29","84.0","0","0.0","29","100.0","25","86.2","na","na"
"21K2262015All StudentsCommon Core Algebra","21K226","P.S. 226 Alfred De B. Mason","General Academic","K-8","Common Core Algebra","2015","All Students","31","72.7","1","3.2","30","96.8","2","6.5","27","87.1"
"21K2262015All StudentsCommon Core Geometry","21K226","P.S. 226 Alfred De B. Mason","General Academic","K-8","Common Core Geometry","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2262015All StudentsLiving Environment","21K226","P.S. 226 Alfred De B. Mason","General Academic","K-8","Living Environment","2015","All Students","30","80.2","0","0.0","30","100.0","16","53.3","na","na"
"21K2262016All StudentsCommon Core Algebra","21K226","P.S. 226 Alfred De B. Mason","General Academic","K-8","Common Core Algebra","2016","All Students","27","77.9","1","3.7","26","96.3","10","37.0","26","96.3"
"21K2262016All StudentsLiving Environment","21K226","P.S. 226 Alfred De B. Mason","General Academic","K-8","Living Environment","2016","All Students","27","76.8","2","7.4","25","92.6","14","51.9","na","na"
"21K2262017All StudentsCommon Core Algebra","21K226","P.S. 226 Alfred De B. Mason","General Academic","K-8","Common Core Algebra","2017","All Students","32","81.8","1","3.1","31","96.9","23","71.9","28","87.5"
"21K2262017All StudentsCommon Core English","21K226","P.S. 226 Alfred De B. Mason","General Academic","K-8","Common Core English","2017","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2262017All StudentsLiving Environment","21K226","P.S. 226 Alfred De B. Mason","General Academic","K-8","Living Environment","2017","All Students","30","77.7","2","6.7","28","93.3","15","50.0","na","na"
"21K4102015All StudentsFrench","21K410","Abraham Lincoln High School","General Academic","High school","French","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2262018All StudentsCommon Core Algebra","21K226","P.S. 226 Alfred De B. Mason","General Academic","K-8","Common Core Algebra","2018","All Students","36","81.6","0","0.0","36","100.0","26","72.2","35","97.2"
"21K2262018All StudentsLiving Environment","21K226","P.S. 226 Alfred De B. Mason","General Academic","K-8","Living Environment","2018","All Students","28","85.5","0","0.0","28","100.0","22","78.6","na","na"
"21K2262019All StudentsCommon Core Algebra","21K226","P.S. 226 Alfred De B. Mason","General Academic","K-8","Common Core Algebra","2019","All Students","30","81.6","1","3.3","29","96.7","21","70.0","29","96.7"
"21K2262019All StudentsLiving Environment","21K226","P.S. 226 Alfred De B. Mason","General Academic","K-8","Living Environment","2019","All Students","30","87.6","0","0.0","30","100.0","30","100.0","na","na"
"21K2282015All StudentsCommon Core Algebra","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2015","All Students","101","77.0","2","2.0","99","98.0","36","35.6","83","82.2"
"21K2282015All StudentsCommon Core Geometry","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Common Core Geometry","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2282015All StudentsLiving Environment","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Living Environment","2015","All Students","22","83.6","1","4.5","21","95.5","15","68.2","na","na"
"21K2282015All StudentsPhysical Settings/Earth Science","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2015","All Students","95","74.7","14","14.7","81","85.3","34","35.8","na","na"
"21K2282015All StudentsU.S. History and Government","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","U.S. History and Government","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2282016All StudentsCommon Core Algebra","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2016","All Students","66","87.4","0","0.0","66","100.0","65","98.5","66","100.0"
"21K2282016All StudentsLiving Environment","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Living Environment","2016","All Students","105","80.2","9","8.6","96","91.4","67","63.8","na","na"
"21K2282016All StudentsPhysical Settings/Earth Science","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2016","All Students","25","79.2","3","12.0","22","88.0","14","56.0","na","na"
"21K2282017All StudentsCommon Core Algebra","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2017","All Students","137","87.0","0","0.0","137","100.0","131","95.6","137","100.0"
"21K2282017All StudentsCommon Core English","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Common Core English","2017","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2282017All StudentsLiving Environment","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Living Environment","2017","All Students","95","84.1","1","1.1","94","98.9","78","82.1","na","na"
"21K2282017All StudentsPhysical Settings/Earth Science","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2017","All Students","29","75.0","6","20.7","23","79.3","14","48.3","na","na"
"21K2282018All StudentsCommon Core Algebra","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2018","All Students","75","86.7","0","0.0","75","100.0","68","90.7","75","100.0"
"21K2282018All StudentsLiving Environment","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Living Environment","2018","All Students","66","87.0","0","0.0","66","100.0","58","87.9","na","na"
"21K2282018All StudentsPhysical Settings/Earth Science","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2018","All Students","26","79.9","1","3.8","25","96.2","15","57.7","na","na"
"21K2282019All StudentsCommon Core Algebra","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2019","All Students","151","85.8","1","0.7","150","99.3","130","86.1","145","96.0"
"21K2282019All StudentsLiving Environment","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Living Environment","2019","All Students","194","78.3","27","13.9","167","86.1","111","57.2","na","na"
"21K2282019All StudentsPhysical Settings/Earth Science","21K228","I.S. 228 David A. Boody","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2019","All Students","21","84.0","2","9.5","19","90.5","18","85.7","na","na"
"21K2382015All StudentsCommon Core Algebra","21K238","P.S. 238 Anne Sullivan","General Academic","K-8","Common Core Algebra","2015","All Students","30","57.8","24","80.0","6","20.0","0","0.0","1","3.3"
"21K2382015All StudentsLiving Environment","21K238","P.S. 238 Anne Sullivan","General Academic","K-8","Living Environment","2015","All Students","29","64.8","14","48.3","15","51.7","1","3.4","na","na"
"21K2382016All StudentsCommon Core Algebra","21K238","P.S. 238 Anne Sullivan","General Academic","K-8","Common Core Algebra","2016","All Students","15","75.4","1","6.7","14","93.3","5","33.3","12","80.0"
"21K2382016All StudentsLiving Environment","21K238","P.S. 238 Anne Sullivan","General Academic","K-8","Living Environment","2016","All Students","15","75.9","1","6.7","14","93.3","7","46.7","na","na"
"21K2382017All StudentsCommon Core Algebra","21K238","P.S. 238 Anne Sullivan","General Academic","K-8","Common Core Algebra","2017","All Students","28","71.3","5","17.9","23","82.1","3","10.7","17","60.7"
"21K2382017All StudentsLiving Environment","21K238","P.S. 238 Anne Sullivan","General Academic","K-8","Living Environment","2017","All Students","27","67.0","10","37.0","17","63.0","0","0.0","na","na"
"21K2382018All StudentsCommon Core Algebra","21K238","P.S. 238 Anne Sullivan","General Academic","K-8","Common Core Algebra","2018","All Students","24","63.6","9","37.5","15","62.5","0","0.0","9","37.5"
"21K2382018All StudentsCommon Core English","21K238","P.S. 238 Anne Sullivan","General Academic","K-8","Common Core English","2018","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2382018All StudentsLiving Environment","21K238","P.S. 238 Anne Sullivan","General Academic","K-8","Living Environment","2018","All Students","24","71.4","5","20.8","19","79.2","4","16.7","na","na"
"21K2382019All StudentsCommon Core Algebra","21K238","P.S. 238 Anne Sullivan","General Academic","K-8","Common Core Algebra","2019","All Students","27","63.7","12","44.4","15","55.6","3","11.1","10","37.0"
"21K2392015All StudentsCommon Core Algebra","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2015","All Students","185","84.4","1","0.5","184","99.5","123","66.5","184","99.5"
"21K2392015All StudentsLiving Environment","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Living Environment","2015","All Students","292","86.7","11","3.8","281","96.2","237","81.2","na","na"
"21K2392015All StudentsPhysical Settings/Earth Science","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2015","All Students","181","87.2","4","2.2","177","97.8","155","85.6","na","na"
"21K2392016All StudentsCommon Core Algebra","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2016","All Students","218","88.8","0","0.0","218","100.0","216","99.1","218","100.0"
"21K2392016All StudentsLiving Environment","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Living Environment","2016","All Students","327","88.0","3","0.9","324","99.1","291","89.0","na","na"
"21K2392016All StudentsPhysical Settings/Earth Science","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2016","All Students","98","89.3","0","0.0","98","100.0","84","85.7","na","na"
"21K2392016All StudentsU.S. History and Government","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","U.S. History and Government","2016","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2392017All StudentsCommon Core Algebra","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2017","All Students","176","89.9","0","0.0","176","100.0","174","98.9","176","100.0"
"21K2392017All StudentsLiving Environment","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Living Environment","2017","All Students","251","87.6","4","1.6","247","98.4","230","91.6","na","na"
"21K2392017All StudentsPhysical Settings/Earth Science","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2017","All Students","122","91.4","0","0.0","122","100.0","115","94.3","na","na"
"21K2392018All StudentsCommon Core Algebra","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2018","All Students","203","90.0","0","0.0","203","100.0","198","97.5","203","100.0"
"21K2392018All StudentsCommon Core English","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Common Core English","2018","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2392018All StudentsLiving Environment","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Living Environment","2018","All Students","328","88.7","4","1.2","324","98.8","286","87.2","na","na"
"21K2392018All StudentsPhysical Settings/Earth Science","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2018","All Students","143","92.8","0","0.0","143","100.0","140","97.9","na","na"
"21K2392019All StudentsCommon Core Algebra","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2019","All Students","211","92.0","0","0.0","211","100.0","209","99.1","211","100.0"
"21K2392019All StudentsLiving Environment","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Living Environment","2019","All Students","313","88.8","5","1.6","308","98.4","285","91.1","na","na"
"21K2392019All StudentsPhysical Settings/Earth Science","21K239","Mark Twain I.S. 239 for the Gifted & Talented","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2019","All Students","105","91.7","0","0.0","105","100.0","98","93.3","na","na"
"21K2812015All StudentsCommon Core Algebra","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2015","All Students","96","75.8","0","0.0","96","100.0","17","17.7","92","95.8"
"21K2812015All StudentsCommon Core Geometry","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Common Core Geometry","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2812015All StudentsLiving Environment","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Living Environment","2015","All Students","94","86.1","0","0.0","94","100.0","81","86.2","na","na"
"21K2812016All StudentsCommon Core Algebra","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2016","All Students","93","86.8","0","0.0","93","100.0","88","94.6","93","100.0"
"21K2812016All StudentsLiving Environment","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Living Environment","2016","All Students","122","83.0","0","0.0","122","100.0","94","77.0","na","na"
"21K2812017All StudentsCommon Core Algebra","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2017","All Students","89","84.6","1","1.1","88","98.9","75","84.3","88","98.9"
"21K2812017All StudentsLiving Environment","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Living Environment","2017","All Students","89","84.0","1","1.1","88","98.9","71","79.8","na","na"
"21K2812018All StudentsCommon Core Algebra","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2018","All Students","92","84.9","0","0.0","92","100.0","80","87.0","92","100.0"
"21K2812018All StudentsLiving Environment","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Living Environment","2018","All Students","91","84.5","0","0.0","91","100.0","71","78.0","na","na"
"21K2812019All StudentsCommon Core Algebra","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2019","All Students","122","84.0","0","0.0","122","100.0","98","80.3","120","98.4"
"21K2812019All StudentsCommon Core Geometry","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Common Core Geometry","2019","All Students","1","s","s","s","s","s","s","s","s","s"
"21K2812019All StudentsLiving Environment","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Living Environment","2019","All Students","90","84.1","2","2.2","88","97.8","69","76.7","na","na"
"21K2812019All StudentsPhysical Settings/Chemistry","21K281","I.S. 281 Joseph B Cavallaro","General Academic","Junior High-Intermediate-Middle","Physical Settings/Chemistry","2019","All Students","1","s","s","s","s","s","s","s","s","s"
"21K3032015All StudentsCommon Core Algebra","21K303","I.S. 303 Herbert S. Eisenberg","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2015","All Students","56","74.7","0","0.0","56","100.0","10","17.9","50","89.3"
"21K3032015All StudentsPhysical Settings/Earth Science","21K303","I.S. 303 Herbert S. Eisenberg","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2015","All Students","52","77.7","5","9.6","47","90.4","23","44.2","na","na"
"21K3032016All StudentsCommon Core Algebra","21K303","I.S. 303 Herbert S. Eisenberg","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2016","All Students","59","78.9","1","1.7","58","98.3","32","54.2","57","96.6"
"21K3032016All StudentsPhysical Settings/Earth Science","21K303","I.S. 303 Herbert S. Eisenberg","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2016","All Students","54","77.4","6","11.1","48","88.9","24","44.4","na","na"
"21K3032017All StudentsCommon Core Algebra","21K303","I.S. 303 Herbert S. Eisenberg","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2017","All Students","44","82.4","0","0.0","44","100.0","34","77.3","44","100.0"
"21K3032017All StudentsCommon Core English","21K303","I.S. 303 Herbert S. Eisenberg","General Academic","Junior High-Intermediate-Middle","Common Core English","2017","All Students","1","s","s","s","s","s","s","s","s","s"
"21K3032017All StudentsPhysical Settings/Earth Science","21K303","I.S. 303 Herbert S. Eisenberg","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2017","All Students","50","80.5","4","8.0","46","92.0","31","62.0","na","na"
"21K3032018All StudentsCommon Core Algebra","21K303","I.S. 303 Herbert S. Eisenberg","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2018","All Students","52","74.6","2","3.8","50","96.2","13","25.0","36","69.2"
"21K3032018All StudentsPhysical Settings/Earth Science","21K303","I.S. 303 Herbert S. Eisenberg","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2018","All Students","49","82.3","3","6.1","46","93.9","31","63.3","na","na"
"21K3032019All StudentsCommon Core Algebra","21K303","I.S. 303 Herbert S. Eisenberg","General Academic","Junior High-Intermediate-Middle","Common Core Algebra","2019","All Students","49","74.6","5","10.2","44","89.8","12","24.5","39","79.6"
"21K3032019All StudentsPhysical Settings/Earth Science","21K303","I.S. 303 Herbert S. Eisenberg","General Academic","Junior High-Intermediate-Middle","Physical Settings/Earth Science","2019","All Students","48","81.6","0","0.0","48","100.0","30","62.5","na","na"
"21K3372015All StudentsCommon Core Algebra","21K337","International High School at Lafayette","General Academic","High school","Common Core Algebra","2015","All Students","123","51.4","97","78.9","26","21.1","1","0.8","8","6.5"
"21K3372015All StudentsCommon Core English","21K337","International High School at Lafayette","General Academic","High school","Common Core English","2015","All Students","144","50.1","102","70.8","42","29.2","10","6.9","22","15.3"
"21K3372015All StudentsEnglish","21K337","International High School at Lafayette","General Academic","High school","English","2015","All Students","144","57.3","83","57.6","61","42.4","11","7.6","25","17.4"
"21K3372015All StudentsGlobal History and Geography","21K337","International High School at Lafayette","General Academic","High school","Global History and Geography","2015","All Students","2","s","s","s","s","s","s","s","s","s"
"21K3372015All StudentsIntegrated Algebra","21K337","International High School at Lafayette","General Academic","High school","Integrated Algebra","2015","All Students","167","62.6","81","48.5","86","51.5","18","10.8","18","10.8"
"21K3372015All StudentsU.S. History and Government","21K337","International High School at Lafayette","General Academic","High school","U.S. History and Government","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"21K3372016All StudentsCommon Core Algebra","21K337","International High School at Lafayette","General Academic","High school","Common Core Algebra","2016","All Students","179","59.4","122","68.2","57","31.8","13","7.3","33","18.4"
"21K3372016All StudentsCommon Core English","21K337","International High School at Lafayette","General Academic","High school","Common Core English","2016","All Students","132","54.1","78","59.1","54","40.9","8","6.1","15","11.4"
"21K3372016All StudentsEnglish","21K337","International High School at Lafayette","General Academic","High school","English","2016","All Students","55","51.5","50","90.9","5","9.1","0","0.0","1","1.8"
"21K3372016All StudentsIntegrated Algebra","21K337","International High School at Lafayette","General Academic","High school","Integrated Algebra","2016","All Students","32","66.7","14","43.8","18","56.3","6","18.8","6","18.8"
